Column1,GOSlim_bin
PiuraChilensis_v1_contig_4544,DNA metabolism
PiuraChilensis_v1_contig_4544,other metabolic processes
PiuraChilensis_v1_contig_14682,other metabolic processes
PiuraChilensis_v1_contig_4229,protein metabolism
PiuraChilensis_v1_contig_4229,signal transduction
PiuraChilensis_v1_contig_4229,developmental processes
PiuraChilensis_v1_contig_4229,other metabolic processes
PiuraChilensis_v1_contig_11411,RNA metabolism
PiuraChilensis_v1_contig_7214,developmental processes
PiuraChilensis_v1_contig_14337,other biological processes
PiuraChilensis_v1_contig_14337,cell adhesion
PiuraChilensis_v1_contig_14337,signal transduction
PiuraChilensis_v1_contig_14337,developmental processes
PiuraChilensis_v1_contig_14337,stress response
PiuraChilensis_v1_contig_14337,cell organization and biogenesis
PiuraChilensis_v1_contig_11173,cell organization and biogenesis
PiuraChilensis_v1_contig_10345,developmental processes
PiuraChilensis_v1_contig_11807,developmental processes
PiuraChilensis_v1_contig_12017,developmental processes
PiuraChilensis_v1_contig_14602,developmental processes
PiuraChilensis_v1_contig_9534,developmental processes
PiuraChilensis_v1_contig_10345,other biological processes
PiuraChilensis_v1_contig_11807,other biological processes
PiuraChilensis_v1_contig_12017,other biological processes
PiuraChilensis_v1_contig_14602,other biological processes
PiuraChilensis_v1_contig_9534,other biological processes
PiuraChilensis_v1_contig_8658,other biological processes
PiuraChilensis_v1_contig_8658,other metabolic processes
PiuraChilensis_v1_contig_8658,developmental processes
PiuraChilensis_v1_contig_6534,developmental processes
PiuraChilensis_v1_contig_6534,other metabolic processes
PiuraChilensis_v1_contig_6534,other biological processes
PiuraChilensis_v1_contig_6534,cell organization and biogenesis
PiuraChilensis_v1_contig_6177,transport
PiuraChilensis_v1_contig_6177,cell organization and biogenesis
PiuraChilensis_v1_contig_6177,signal transduction
PiuraChilensis_v1_contig_9951,RNA metabolism
PiuraChilensis_v1_contig_9951,cell organization and biogenesis
PiuraChilensis_v1_contig_9951,signal transduction
PiuraChilensis_v1_contig_7627,cell organization and biogenesis
PiuraChilensis_v1_contig_7627,cell-cell signaling
PiuraChilensis_v1_contig_11260,protein metabolism
PiuraChilensis_v1_contig_7996,cell cycle and proliferation
PiuraChilensis_v1_contig_7996,cell organization and biogenesis
PiuraChilensis_v1_contig_7996,transport
PiuraChilensis_v1_contig_7996,other biological processes
PiuraChilensis_v1_contig_13200,other metabolic processes
PiuraChilensis_v1_contig_13200,developmental processes
PiuraChilensis_v1_contig_13200,cell cycle and proliferation
PiuraChilensis_v1_contig_13200,other biological processes
PiuraChilensis_v1_contig_13200,death
PiuraChilensis_v1_contig_10670,other biological processes
PiuraChilensis_v1_contig_1901,other biological processes
PiuraChilensis_v1_contig_6438,other metabolic processes
PiuraChilensis_v1_contig_7702,other metabolic processes
PiuraChilensis_v1_contig_13526,other biological processes
PiuraChilensis_v1_contig_5250,other biological processes
PiuraChilensis_v1_contig_13774,protein metabolism
PiuraChilensis_v1_contig_2057,protein metabolism
PiuraChilensis_v1_contig_222,protein metabolism
PiuraChilensis_v1_contig_10959,cell organization and biogenesis
PiuraChilensis_v1_contig_13511,cell organization and biogenesis
PiuraChilensis_v1_contig_4651,RNA metabolism
PiuraChilensis_v1_contig_4651,cell organization and biogenesis
PiuraChilensis_v1_contig_4651,other biological processes
PiuraChilensis_v1_contig_4651,protein metabolism
PiuraChilensis_v1_contig_11278,signal transduction
PiuraChilensis_v1_contig_11278,other biological processes
PiuraChilensis_v1_contig_7659,developmental processes
PiuraChilensis_v1_contig_7659,cell adhesion
PiuraChilensis_v1_contig_7659,signal transduction
PiuraChilensis_v1_contig_7659,other biological processes
PiuraChilensis_v1_contig_7659,cell organization and biogenesis
PiuraChilensis_v1_contig_10671,other metabolic processes
PiuraChilensis_v1_contig_1172,other metabolic processes
PiuraChilensis_v1_contig_9814,other metabolic processes
PiuraChilensis_v1_contig_10671,transport
PiuraChilensis_v1_contig_10671,cell organization and biogenesis
PiuraChilensis_v1_contig_1172,transport
PiuraChilensis_v1_contig_1172,cell organization and biogenesis
PiuraChilensis_v1_contig_9814,transport
PiuraChilensis_v1_contig_9814,cell organization and biogenesis
PiuraChilensis_v1_contig_10671,cell cycle and proliferation
PiuraChilensis_v1_contig_1172,cell cycle and proliferation
PiuraChilensis_v1_contig_9814,cell cycle and proliferation
PiuraChilensis_v1_contig_10671,developmental processes
PiuraChilensis_v1_contig_1172,developmental processes
PiuraChilensis_v1_contig_9814,developmental processes
PiuraChilensis_v1_contig_13974,developmental processes
PiuraChilensis_v1_contig_14594,developmental processes
PiuraChilensis_v1_contig_9194,developmental processes
PiuraChilensis_v1_contig_13974,protein metabolism
PiuraChilensis_v1_contig_14594,protein metabolism
PiuraChilensis_v1_contig_9194,protein metabolism
PiuraChilensis_v1_contig_13974,other biological processes
PiuraChilensis_v1_contig_14594,other biological processes
PiuraChilensis_v1_contig_9194,other biological processes
PiuraChilensis_v1_contig_13974,other metabolic processes
PiuraChilensis_v1_contig_14594,other metabolic processes
PiuraChilensis_v1_contig_9194,other metabolic processes
PiuraChilensis_v1_contig_13974,signal transduction
PiuraChilensis_v1_contig_14594,signal transduction
PiuraChilensis_v1_contig_9194,signal transduction
PiuraChilensis_v1_contig_13974,cell organization and biogenesis
PiuraChilensis_v1_contig_14594,cell organization and biogenesis
PiuraChilensis_v1_contig_9194,cell organization and biogenesis
PiuraChilensis_v1_contig_2878,signal transduction
PiuraChilensis_v1_contig_2878,other biological processes
PiuraChilensis_v1_contig_14827,RNA metabolism
PiuraChilensis_v1_contig_14827,other metabolic processes
PiuraChilensis_v1_contig_14827,protein metabolism
PiuraChilensis_v1_contig_14827,cell organization and biogenesis
PiuraChilensis_v1_contig_14827,other biological processes
PiuraChilensis_v1_contig_14827,DNA metabolism
PiuraChilensis_v1_contig_10975,cell adhesion
PiuraChilensis_v1_contig_14970,cell adhesion
PiuraChilensis_v1_contig_3560,cell adhesion
PiuraChilensis_v1_contig_3975,cell adhesion
PiuraChilensis_v1_contig_855,cell adhesion
PiuraChilensis_v1_contig_10975,other biological processes
PiuraChilensis_v1_contig_14970,other biological processes
PiuraChilensis_v1_contig_3560,other biological processes
PiuraChilensis_v1_contig_3975,other biological processes
PiuraChilensis_v1_contig_855,other biological processes
PiuraChilensis_v1_contig_4102,cell cycle and proliferation
PiuraChilensis_v1_contig_4102,other biological processes
PiuraChilensis_v1_contig_4102,signal transduction
PiuraChilensis_v1_contig_9338,other biological processes
PiuraChilensis_v1_contig_5690,RNA metabolism
PiuraChilensis_v1_contig_9002,transport
PiuraChilensis_v1_contig_11351,protein metabolism
PiuraChilensis_v1_contig_10179,RNA metabolism
PiuraChilensis_v1_contig_4707,RNA metabolism
PiuraChilensis_v1_contig_4707,stress response
PiuraChilensis_v1_contig_4707,other metabolic processes
PiuraChilensis_v1_contig_4707,protein metabolism
PiuraChilensis_v1_contig_4707,cell organization and biogenesis
PiuraChilensis_v1_contig_6758,RNA metabolism
PiuraChilensis_v1_contig_6758,other biological processes
PiuraChilensis_v1_contig_6797,other metabolic processes
PiuraChilensis_v1_contig_709,other metabolic processes
PiuraChilensis_v1_contig_12624,other metabolic processes
PiuraChilensis_v1_contig_4331,RNA metabolism
PiuraChilensis_v1_contig_4331,cell organization and biogenesis
PiuraChilensis_v1_contig_4235,other biological processes
PiuraChilensis_v1_contig_3534,other biological processes
PiuraChilensis_v1_contig_10018,other biological processes
PiuraChilensis_v1_contig_10876,other biological processes
PiuraChilensis_v1_contig_11596,other biological processes
PiuraChilensis_v1_contig_2009,other biological processes
PiuraChilensis_v1_contig_2488,other biological processes
PiuraChilensis_v1_contig_9087,other biological processes
PiuraChilensis_v1_contig_8256,other biological processes
PiuraChilensis_v1_contig_386,other metabolic processes
PiuraChilensis_v1_contig_6633,other biological processes
PiuraChilensis_v1_contig_9161,developmental processes
PiuraChilensis_v1_contig_9161,RNA metabolism
PiuraChilensis_v1_contig_9161,signal transduction
PiuraChilensis_v1_contig_9161,other biological processes
PiuraChilensis_v1_contig_3011,RNA metabolism
PiuraChilensis_v1_contig_3011,signal transduction
PiuraChilensis_v1_contig_5378,other metabolic processes
PiuraChilensis_v1_contig_10492,protein metabolism
PiuraChilensis_v1_contig_10492,other metabolic processes
PiuraChilensis_v1_contig_8351,developmental processes
PiuraChilensis_v1_contig_8351,other biological processes
PiuraChilensis_v1_contig_8351,transport
PiuraChilensis_v1_contig_8351,cell organization and biogenesis
PiuraChilensis_v1_contig_8351,signal transduction
PiuraChilensis_v1_contig_5400,RNA metabolism
PiuraChilensis_v1_contig_5609,protein metabolism
PiuraChilensis_v1_contig_5609,transport
PiuraChilensis_v1_contig_5609,other biological processes
PiuraChilensis_v1_contig_1922,protein metabolism
PiuraChilensis_v1_contig_1922,other metabolic processes
PiuraChilensis_v1_contig_218,signal transduction
PiuraChilensis_v1_contig_218,developmental processes
PiuraChilensis_v1_contig_218,other biological processes
PiuraChilensis_v1_contig_218,RNA metabolism
PiuraChilensis_v1_contig_218,protein metabolism
PiuraChilensis_v1_contig_218,death
PiuraChilensis_v1_contig_218,stress response
PiuraChilensis_v1_contig_218,other metabolic processes
PiuraChilensis_v1_contig_218,cell organization and biogenesis
PiuraChilensis_v1_contig_4228,transport
PiuraChilensis_v1_contig_14400,other metabolic processes
PiuraChilensis_v1_contig_10582,other metabolic processes
PiuraChilensis_v1_contig_1698,transport
PiuraChilensis_v1_contig_3525,other metabolic processes
PiuraChilensis_v1_contig_6520,other metabolic processes
PiuraChilensis_v1_contig_9484,other metabolic processes
PiuraChilensis_v1_contig_13603,other metabolic processes
PiuraChilensis_v1_contig_13665,other metabolic processes
PiuraChilensis_v1_contig_3767,RNA metabolism
PiuraChilensis_v1_contig_6747,other metabolic processes
PiuraChilensis_v1_contig_11247,other metabolic processes
PiuraChilensis_v1_contig_6505,protein metabolism
PiuraChilensis_v1_contig_6505,other metabolic processes
PiuraChilensis_v1_contig_6627,protein metabolism
PiuraChilensis_v1_contig_4639,other biological processes
PiuraChilensis_v1_contig_7267,developmental processes
PiuraChilensis_v1_contig_7267,RNA metabolism
PiuraChilensis_v1_contig_7267,death
PiuraChilensis_v1_contig_7267,stress response
PiuraChilensis_v1_contig_7267,signal transduction
PiuraChilensis_v1_contig_7267,cell cycle and proliferation
PiuraChilensis_v1_contig_14441,signal transduction
PiuraChilensis_v1_contig_8308,other biological processes
PiuraChilensis_v1_contig_5646,cell organization and biogenesis
PiuraChilensis_v1_contig_5646,cell-cell signaling
PiuraChilensis_v1_contig_3587,signal transduction
PiuraChilensis_v1_contig_3035,other metabolic processes
PiuraChilensis_v1_contig_8089,other biological processes
PiuraChilensis_v1_contig_13684,other metabolic processes
PiuraChilensis_v1_contig_8097,transport
PiuraChilensis_v1_contig_8097,signal transduction
PiuraChilensis_v1_contig_8097,cell organization and biogenesis
PiuraChilensis_v1_contig_536,protein metabolism
PiuraChilensis_v1_contig_536,other biological processes
PiuraChilensis_v1_contig_6573,protein metabolism
PiuraChilensis_v1_contig_6573,death
PiuraChilensis_v1_contig_2830,death
PiuraChilensis_v1_contig_12595,transport
PiuraChilensis_v1_contig_1424,signal transduction
PiuraChilensis_v1_contig_1424,cell organization and biogenesis
PiuraChilensis_v1_contig_7839,cell organization and biogenesis
PiuraChilensis_v1_contig_7839,other biological processes
PiuraChilensis_v1_contig_1816,other metabolic processes
PiuraChilensis_v1_contig_1816,cell cycle and proliferation
PiuraChilensis_v1_contig_1816,transport
PiuraChilensis_v1_contig_13432,transport
PiuraChilensis_v1_contig_13432,cell organization and biogenesis
PiuraChilensis_v1_contig_9778,protein metabolism
PiuraChilensis_v1_contig_4073,stress response
PiuraChilensis_v1_contig_4073,other metabolic processes
PiuraChilensis_v1_contig_14284,other metabolic processes
PiuraChilensis_v1_contig_12150,other metabolic processes
PiuraChilensis_v1_contig_12148,other metabolic processes
PiuraChilensis_v1_contig_9752,cell organization and biogenesis
PiuraChilensis_v1_contig_173,RNA metabolism
PiuraChilensis_v1_contig_173,developmental processes
PiuraChilensis_v1_contig_11657,cell cycle and proliferation
PiuraChilensis_v1_contig_4024,cell cycle and proliferation
PiuraChilensis_v1_contig_7527,DNA metabolism
PiuraChilensis_v1_contig_7527,cell organization and biogenesis
PiuraChilensis_v1_contig_7527,other metabolic processes
PiuraChilensis_v1_contig_7527,stress response
PiuraChilensis_v1_contig_7345,protein metabolism
PiuraChilensis_v1_contig_7345,cell organization and biogenesis
PiuraChilensis_v1_contig_8198,protein metabolism
PiuraChilensis_v1_contig_8676,protein metabolism
PiuraChilensis_v1_contig_8198,other biological processes
PiuraChilensis_v1_contig_8676,other biological processes
PiuraChilensis_v1_contig_14420,protein metabolism
PiuraChilensis_v1_contig_14420,other biological processes
PiuraChilensis_v1_contig_13345,transport
PiuraChilensis_v1_contig_6523,death
PiuraChilensis_v1_contig_12971,RNA metabolism
PiuraChilensis_v1_contig_12971,other biological processes
PiuraChilensis_v1_contig_6015,other metabolic processes
PiuraChilensis_v1_contig_11748,transport
PiuraChilensis_v1_contig_3693,transport
PiuraChilensis_v1_contig_11748,other metabolic processes
PiuraChilensis_v1_contig_3693,other metabolic processes
PiuraChilensis_v1_contig_1552,other biological processes
PiuraChilensis_v1_contig_10303,DNA metabolism
PiuraChilensis_v1_contig_10303,protein metabolism
PiuraChilensis_v1_contig_10303,stress response
PiuraChilensis_v1_contig_6143,other metabolic processes
PiuraChilensis_v1_contig_13636,stress response
PiuraChilensis_v1_contig_13636,other metabolic processes
PiuraChilensis_v1_contig_13636,cell organization and biogenesis
PiuraChilensis_v1_contig_14318,transport
PiuraChilensis_v1_contig_14318,other biological processes
PiuraChilensis_v1_contig_6151,transport
PiuraChilensis_v1_contig_6151,cell organization and biogenesis
PiuraChilensis_v1_contig_9100,transport
PiuraChilensis_v1_contig_9100,cell organization and biogenesis
PiuraChilensis_v1_contig_6151,signal transduction
PiuraChilensis_v1_contig_9100,signal transduction
PiuraChilensis_v1_contig_6151,other biological processes
PiuraChilensis_v1_contig_9100,other biological processes
PiuraChilensis_v1_contig_5478,transport
PiuraChilensis_v1_contig_5478,signal transduction
PiuraChilensis_v1_contig_13794,stress response
PiuraChilensis_v1_contig_13794,DNA metabolism
PiuraChilensis_v1_contig_319,other biological processes
PiuraChilensis_v1_contig_319,signal transduction
PiuraChilensis_v1_contig_319,stress response
PiuraChilensis_v1_contig_5300,signal transduction
PiuraChilensis_v1_contig_5300,stress response
PiuraChilensis_v1_contig_5300,transport
PiuraChilensis_v1_contig_6526,other metabolic processes
PiuraChilensis_v1_contig_2817,transport
PiuraChilensis_v1_contig_2817,stress response
PiuraChilensis_v1_contig_8939,death
PiuraChilensis_v1_contig_8939,cell organization and biogenesis
PiuraChilensis_v1_contig_8939,other metabolic processes
PiuraChilensis_v1_contig_8807,cell cycle and proliferation
PiuraChilensis_v1_contig_8807,developmental processes
PiuraChilensis_v1_contig_8807,cell organization and biogenesis
PiuraChilensis_v1_contig_8807,protein metabolism
PiuraChilensis_v1_contig_8807,other biological processes
PiuraChilensis_v1_contig_302,protein metabolism
PiuraChilensis_v1_contig_12513,other metabolic processes
PiuraChilensis_v1_contig_3720,protein metabolism
PiuraChilensis_v1_contig_6768,protein metabolism
PiuraChilensis_v1_contig_7745,other metabolic processes
PiuraChilensis_v1_contig_7493,protein metabolism
PiuraChilensis_v1_contig_7493,death
PiuraChilensis_v1_contig_7493,cell cycle and proliferation
PiuraChilensis_v1_contig_7493,other metabolic processes
PiuraChilensis_v1_contig_7493,other biological processes
PiuraChilensis_v1_contig_7493,developmental processes
PiuraChilensis_v1_contig_7493,transport
PiuraChilensis_v1_contig_5577,transport
PiuraChilensis_v1_contig_7109,protein metabolism
PiuraChilensis_v1_contig_7109,transport
PiuraChilensis_v1_contig_7109,cell organization and biogenesis
PiuraChilensis_v1_contig_7109,signal transduction
PiuraChilensis_v1_contig_7109,developmental processes
PiuraChilensis_v1_contig_7984,other biological processes
PiuraChilensis_v1_contig_11914,other metabolic processes
PiuraChilensis_v1_contig_7610,other metabolic processes
PiuraChilensis_v1_contig_437,cell organization and biogenesis
PiuraChilensis_v1_contig_10066,developmental processes
PiuraChilensis_v1_contig_10066,protein metabolism
PiuraChilensis_v1_contig_11102,cell organization and biogenesis
PiuraChilensis_v1_contig_11565,DNA metabolism
PiuraChilensis_v1_contig_11565,stress response
PiuraChilensis_v1_contig_11565,cell cycle and proliferation
PiuraChilensis_v1_contig_11565,other biological processes
PiuraChilensis_v1_contig_5224,transport
PiuraChilensis_v1_contig_5224,cell organization and biogenesis
PiuraChilensis_v1_contig_5224,signal transduction
PiuraChilensis_v1_contig_2549,signal transduction
PiuraChilensis_v1_contig_3323,stress response
PiuraChilensis_v1_contig_3323,DNA metabolism
PiuraChilensis_v1_contig_3323,other metabolic processes
PiuraChilensis_v1_contig_1375,cell organization and biogenesis
PiuraChilensis_v1_contig_14053,cell organization and biogenesis
PiuraChilensis_v1_contig_14977,other metabolic processes
PiuraChilensis_v1_contig_8264,other metabolic processes
PiuraChilensis_v1_contig_14977,cell organization and biogenesis
PiuraChilensis_v1_contig_8264,cell organization and biogenesis
PiuraChilensis_v1_contig_10912,RNA metabolism
PiuraChilensis_v1_contig_4010,cell adhesion
PiuraChilensis_v1_contig_624,cell adhesion
PiuraChilensis_v1_contig_5987,other metabolic processes
PiuraChilensis_v1_contig_5987,other biological processes
PiuraChilensis_v1_contig_9797,signal transduction
PiuraChilensis_v1_contig_10674,signal transduction
PiuraChilensis_v1_contig_10674,other biological processes
PiuraChilensis_v1_contig_10674,stress response
PiuraChilensis_v1_contig_10674,cell organization and biogenesis
PiuraChilensis_v1_contig_10217,transport
PiuraChilensis_v1_contig_2997,death
PiuraChilensis_v1_contig_2997,stress response
PiuraChilensis_v1_contig_2997,RNA metabolism
PiuraChilensis_v1_contig_2997,other biological processes
PiuraChilensis_v1_contig_2997,transport
PiuraChilensis_v1_contig_5796,protein metabolism
PiuraChilensis_v1_contig_5796,transport
PiuraChilensis_v1_contig_9754,cell adhesion
PiuraChilensis_v1_contig_9754,other biological processes
PiuraChilensis_v1_contig_6519,other metabolic processes
PiuraChilensis_v1_contig_6519,cell organization and biogenesis
PiuraChilensis_v1_contig_2791,other metabolic processes
PiuraChilensis_v1_contig_6388,signal transduction
PiuraChilensis_v1_contig_8867,signal transduction
PiuraChilensis_v1_contig_1850,developmental processes
PiuraChilensis_v1_contig_1850,signal transduction
PiuraChilensis_v1_contig_1850,other biological processes
PiuraChilensis_v1_contig_1850,other metabolic processes
PiuraChilensis_v1_contig_14658,stress response
PiuraChilensis_v1_contig_14658,other metabolic processes
PiuraChilensis_v1_contig_3430,other metabolic processes
PiuraChilensis_v1_contig_5504,RNA metabolism
PiuraChilensis_v1_contig_5504,other biological processes
PiuraChilensis_v1_contig_8091,transport
PiuraChilensis_v1_contig_5606,other metabolic processes
PiuraChilensis_v1_contig_5204,transport
PiuraChilensis_v1_contig_5204,other metabolic processes
PiuraChilensis_v1_contig_236,protein metabolism
PiuraChilensis_v1_contig_529,protein metabolism
PiuraChilensis_v1_contig_236,developmental processes
PiuraChilensis_v1_contig_529,developmental processes
PiuraChilensis_v1_contig_3523,other metabolic processes
PiuraChilensis_v1_contig_3523,signal transduction
PiuraChilensis_v1_contig_6829,transport
PiuraChilensis_v1_contig_6829,cell organization and biogenesis
PiuraChilensis_v1_contig_13031,other biological processes
PiuraChilensis_v1_contig_1422,other biological processes
PiuraChilensis_v1_contig_13031,cell cycle and proliferation
PiuraChilensis_v1_contig_1422,cell cycle and proliferation
PiuraChilensis_v1_contig_13031,cell organization and biogenesis
PiuraChilensis_v1_contig_1422,cell organization and biogenesis
PiuraChilensis_v1_contig_13031,protein metabolism
PiuraChilensis_v1_contig_1422,protein metabolism
PiuraChilensis_v1_contig_948,RNA metabolism
PiuraChilensis_v1_contig_4159,other metabolic processes
PiuraChilensis_v1_contig_13809,other metabolic processes
PiuraChilensis_v1_contig_5761,other biological processes
PiuraChilensis_v1_contig_9954,other biological processes
PiuraChilensis_v1_contig_10093,other metabolic processes
PiuraChilensis_v1_contig_11209,other metabolic processes
PiuraChilensis_v1_contig_11484,other metabolic processes
PiuraChilensis_v1_contig_10135,other biological processes
PiuraChilensis_v1_contig_12147,cell adhesion
PiuraChilensis_v1_contig_14725,cell adhesion
PiuraChilensis_v1_contig_12980,DNA metabolism
PiuraChilensis_v1_contig_12980,protein metabolism
PiuraChilensis_v1_contig_12980,stress response
PiuraChilensis_v1_contig_3447,other biological processes
PiuraChilensis_v1_contig_3447,signal transduction
PiuraChilensis_v1_contig_14446,RNA metabolism
PiuraChilensis_v1_contig_13895,transport
PiuraChilensis_v1_contig_4202,cell adhesion
PiuraChilensis_v1_contig_5070,cell adhesion
PiuraChilensis_v1_contig_4202,developmental processes
PiuraChilensis_v1_contig_5070,developmental processes
PiuraChilensis_v1_contig_13482,transport
PiuraChilensis_v1_contig_9278,transport
PiuraChilensis_v1_contig_6225,other metabolic processes
PiuraChilensis_v1_contig_10727,protein metabolism
PiuraChilensis_v1_contig_10727,cell adhesion
PiuraChilensis_v1_contig_10727,other metabolic processes
PiuraChilensis_v1_contig_763,RNA metabolism
PiuraChilensis_v1_contig_763,protein metabolism
PiuraChilensis_v1_contig_763,cell cycle and proliferation
PiuraChilensis_v1_contig_763,cell adhesion
PiuraChilensis_v1_contig_763,signal transduction
PiuraChilensis_v1_contig_763,other metabolic processes
PiuraChilensis_v1_contig_763,other biological processes
PiuraChilensis_v1_contig_7351,developmental processes
PiuraChilensis_v1_contig_10593,other metabolic processes
PiuraChilensis_v1_contig_2458,protein metabolism
PiuraChilensis_v1_contig_13427,other biological processes
PiuraChilensis_v1_contig_6468,other metabolic processes
PiuraChilensis_v1_contig_8390,protein metabolism
PiuraChilensis_v1_contig_10325,transport
PiuraChilensis_v1_contig_10325,other biological processes
PiuraChilensis_v1_contig_10004,other metabolic processes
PiuraChilensis_v1_contig_8902,other metabolic processes
PiuraChilensis_v1_contig_13154,cell adhesion
PiuraChilensis_v1_contig_13154,signal transduction
PiuraChilensis_v1_contig_13154,developmental processes
PiuraChilensis_v1_contig_9760,developmental processes
PiuraChilensis_v1_contig_9760,protein metabolism
PiuraChilensis_v1_contig_9760,transport
PiuraChilensis_v1_contig_9760,death
PiuraChilensis_v1_contig_9760,cell cycle and proliferation
PiuraChilensis_v1_contig_9760,cell organization and biogenesis
PiuraChilensis_v1_contig_9760,other biological processes
PiuraChilensis_v1_contig_9760,signal transduction
PiuraChilensis_v1_contig_9760,stress response
PiuraChilensis_v1_contig_12228,transport
PiuraChilensis_v1_contig_14551,other metabolic processes
PiuraChilensis_v1_contig_14642,RNA metabolism
PiuraChilensis_v1_contig_14642,cell organization and biogenesis
PiuraChilensis_v1_contig_14642,protein metabolism
PiuraChilensis_v1_contig_14642,other metabolic processes
PiuraChilensis_v1_contig_11381,RNA metabolism
PiuraChilensis_v1_contig_6373,RNA metabolism
PiuraChilensis_v1_contig_11381,developmental processes
PiuraChilensis_v1_contig_6373,developmental processes
PiuraChilensis_v1_contig_11381,cell organization and biogenesis
PiuraChilensis_v1_contig_6373,cell organization and biogenesis
PiuraChilensis_v1_contig_5713,other metabolic processes
PiuraChilensis_v1_contig_12862,protein metabolism
PiuraChilensis_v1_contig_12862,cell organization and biogenesis
PiuraChilensis_v1_contig_3617,RNA metabolism
PiuraChilensis_v1_contig_3617,cell organization and biogenesis
PiuraChilensis_v1_contig_7601,other metabolic processes
PiuraChilensis_v1_contig_14711,developmental processes
PiuraChilensis_v1_contig_14711,other biological processes
PiuraChilensis_v1_contig_10548,other metabolic processes
PiuraChilensis_v1_contig_807,other metabolic processes
PiuraChilensis_v1_contig_1219,other biological processes
PiuraChilensis_v1_contig_4215,transport
