Column1,Column2,Column1,Column2
PiuraChilensis_v1_contig_10045,0.888002,,
PiuraChilensis_v1_contig_10046,0.727199,PiuraChilensis_v1_contig_10046,transport
PiuraChilensis_v1_contig_10047,0.829222,,
PiuraChilensis_v1_contig_10048,1.03089,PiuraChilensis_v1_contig_10048,DNA metabolism
PiuraChilensis_v1_contig_10048,1.03089,PiuraChilensis_v1_contig_10048,RNA metabolism
PiuraChilensis_v1_contig_10048,1.03089,PiuraChilensis_v1_contig_10048,cell organization and biogenesis
PiuraChilensis_v1_contig_10048,1.03089,PiuraChilensis_v1_contig_10048,developmental processes
PiuraChilensis_v1_contig_10048,1.03089,PiuraChilensis_v1_contig_10048,other metabolic processes
PiuraChilensis_v1_contig_10048,1.03089,PiuraChilensis_v1_contig_10048,protein metabolism
PiuraChilensis_v1_contig_10049,1.04355,,
PiuraChilensis_v1_contig_1005,0.618469,,
PiuraChilensis_v1_contig_10050,1.00655,,
PiuraChilensis_v1_contig_10051,0.514179,PiuraChilensis_v1_contig_10051,cell organization and biogenesis
PiuraChilensis_v1_contig_10051,0.514179,PiuraChilensis_v1_contig_10051,transport
PiuraChilensis_v1_contig_10052,0.582907,,
PiuraChilensis_v1_contig_10053,0.763911,PiuraChilensis_v1_contig_10053,RNA metabolism
PiuraChilensis_v1_contig_10054,0.949245,,
PiuraChilensis_v1_contig_10055,0.658073,PiuraChilensis_v1_contig_10055,RNA metabolism
PiuraChilensis_v1_contig_10055,0.658073,PiuraChilensis_v1_contig_10055,cell organization and biogenesis
PiuraChilensis_v1_contig_10055,0.658073,PiuraChilensis_v1_contig_10055,other metabolic processes
PiuraChilensis_v1_contig_10056,0.519476,,
PiuraChilensis_v1_contig_10057,0.536814,PiuraChilensis_v1_contig_10057,RNA metabolism
PiuraChilensis_v1_contig_10057,0.536814,PiuraChilensis_v1_contig_10057,cell cycle and proliferation
PiuraChilensis_v1_contig_10058,0.71244,,
PiuraChilensis_v1_contig_10059,0.820852,PiuraChilensis_v1_contig_10059,cell cycle and proliferation
PiuraChilensis_v1_contig_10059,0.820852,PiuraChilensis_v1_contig_10059,cell organization and biogenesis
PiuraChilensis_v1_contig_10059,0.820852,PiuraChilensis_v1_contig_10059,other biological processes
PiuraChilensis_v1_contig_1006,0.599074,,
PiuraChilensis_v1_contig_10060,0.764527,PiuraChilensis_v1_contig_10060,cell organization and biogenesis
PiuraChilensis_v1_contig_10060,0.764527,PiuraChilensis_v1_contig_10060,cell-cell signaling
PiuraChilensis_v1_contig_10060,0.764527,PiuraChilensis_v1_contig_10060,developmental processes
PiuraChilensis_v1_contig_10060,0.764527,PiuraChilensis_v1_contig_10060,other biological processes
PiuraChilensis_v1_contig_10060,0.764527,PiuraChilensis_v1_contig_10060,protein metabolism
PiuraChilensis_v1_contig_10060,0.764527,PiuraChilensis_v1_contig_10060,stress response
PiuraChilensis_v1_contig_10060,0.764527,PiuraChilensis_v1_contig_10060,transport
PiuraChilensis_v1_contig_10061,0.821634,PiuraChilensis_v1_contig_10061,RNA metabolism
PiuraChilensis_v1_contig_10062,1.39804,,
PiuraChilensis_v1_contig_10063,1.05372,PiuraChilensis_v1_contig_10063,RNA metabolism
PiuraChilensis_v1_contig_10063,1.05372,PiuraChilensis_v1_contig_10063,other biological processes
PiuraChilensis_v1_contig_10064,1.16458,PiuraChilensis_v1_contig_10064,cell adhesion
PiuraChilensis_v1_contig_10064,1.16458,PiuraChilensis_v1_contig_10064,cell organization and biogenesis
PiuraChilensis_v1_contig_10064,1.16458,PiuraChilensis_v1_contig_10064,death
PiuraChilensis_v1_contig_10064,1.16458,PiuraChilensis_v1_contig_10064,protein metabolism
PiuraChilensis_v1_contig_10064,1.16458,PiuraChilensis_v1_contig_10064,signal transduction
PiuraChilensis_v1_contig_10064,1.16458,PiuraChilensis_v1_contig_10064,transport
PiuraChilensis_v1_contig_10065,1.27548,,
PiuraChilensis_v1_contig_10066,0.562578,PiuraChilensis_v1_contig_10066,developmental processes
PiuraChilensis_v1_contig_10066,0.562578,PiuraChilensis_v1_contig_10066,protein metabolism
PiuraChilensis_v1_contig_10067,0.930373,,
PiuraChilensis_v1_contig_10068,0.912008,PiuraChilensis_v1_contig_10068,other metabolic processes
PiuraChilensis_v1_contig_10068,0.912008,PiuraChilensis_v1_contig_10068,protein metabolism
PiuraChilensis_v1_contig_10069,0.758566,,
PiuraChilensis_v1_contig_1007,1.01086,PiuraChilensis_v1_contig_1007,protein metabolism
PiuraChilensis_v1_contig_10070,0.824246,,
PiuraChilensis_v1_contig_10071,0.851968,PiuraChilensis_v1_contig_10071,other metabolic processes
PiuraChilensis_v1_contig_10072,0.667459,PiuraChilensis_v1_contig_10072,other biological processes
PiuraChilensis_v1_contig_10072,0.667459,PiuraChilensis_v1_contig_10072,protein metabolism
PiuraChilensis_v1_contig_10073,0.88517,,
PiuraChilensis_v1_contig_10074,0.967218,,
PiuraChilensis_v1_contig_10075,0.805699,PiuraChilensis_v1_contig_10075,signal transduction
PiuraChilensis_v1_contig_10076,1.05919,,
PiuraChilensis_v1_contig_10077,0.752976,,
PiuraChilensis_v1_contig_10078,1.01419,,
PiuraChilensis_v1_contig_10079,0.650246,,
PiuraChilensis_v1_contig_1008,0.820738,PiuraChilensis_v1_contig_1008,other metabolic processes
PiuraChilensis_v1_contig_10080,0.693471,PiuraChilensis_v1_contig_10080,other biological processes
PiuraChilensis_v1_contig_10080,0.693471,PiuraChilensis_v1_contig_10080,signal transduction
PiuraChilensis_v1_contig_10081,0.565488,,
PiuraChilensis_v1_contig_10082,0.308038,,
PiuraChilensis_v1_contig_10083,0.35353,,
PiuraChilensis_v1_contig_10084,1.14438,,
PiuraChilensis_v1_contig_10085,0.964746,PiuraChilensis_v1_contig_10085,signal transduction
PiuraChilensis_v1_contig_10086,0.554034,,
PiuraChilensis_v1_contig_10087,1.03495,PiuraChilensis_v1_contig_10087,other biological processes
PiuraChilensis_v1_contig_10087,1.03495,PiuraChilensis_v1_contig_10087,other metabolic processes
PiuraChilensis_v1_contig_10088,0.812156,PiuraChilensis_v1_contig_10088,death
PiuraChilensis_v1_contig_10089,1.02295,,
PiuraChilensis_v1_contig_1009,0.951823,,
PiuraChilensis_v1_contig_10090,0.914817,,
PiuraChilensis_v1_contig_10091,0.957942,,
PiuraChilensis_v1_contig_10092,0.822689,PiuraChilensis_v1_contig_10092,cell cycle and proliferation
PiuraChilensis_v1_contig_10092,0.822689,PiuraChilensis_v1_contig_10092,cell organization and biogenesis
PiuraChilensis_v1_contig_10092,0.822689,PiuraChilensis_v1_contig_10092,protein metabolism
PiuraChilensis_v1_contig_10093,1.05413,PiuraChilensis_v1_contig_10093,other metabolic processes
PiuraChilensis_v1_contig_10094,1.09736,,
PiuraChilensis_v1_contig_10095,0.920838,,
PiuraChilensis_v1_contig_10096,0.587355,PiuraChilensis_v1_contig_10096,DNA metabolism
PiuraChilensis_v1_contig_10097,0.646189,PiuraChilensis_v1_contig_10097,other biological processes
PiuraChilensis_v1_contig_10098,0.620761,PiuraChilensis_v1_contig_10098,cell cycle and proliferation
PiuraChilensis_v1_contig_10098,0.620761,PiuraChilensis_v1_contig_10098,death
PiuraChilensis_v1_contig_10098,0.620761,PiuraChilensis_v1_contig_10098,developmental processes
PiuraChilensis_v1_contig_10098,0.620761,PiuraChilensis_v1_contig_10098,signal transduction
PiuraChilensis_v1_contig_10099,0.663519,,
PiuraChilensis_v1_contig_101,0.852185,,
PiuraChilensis_v1_contig_1010,0.792115,PiuraChilensis_v1_contig_1010,other metabolic processes
PiuraChilensis_v1_contig_10100,0.940989,,
PiuraChilensis_v1_contig_10101,0.640466,PiuraChilensis_v1_contig_10101,RNA metabolism
PiuraChilensis_v1_contig_10101,0.640466,PiuraChilensis_v1_contig_10101,cell adhesion
PiuraChilensis_v1_contig_10101,0.640466,PiuraChilensis_v1_contig_10101,cell cycle and proliferation
PiuraChilensis_v1_contig_10101,0.640466,PiuraChilensis_v1_contig_10101,death
PiuraChilensis_v1_contig_10101,0.640466,PiuraChilensis_v1_contig_10101,developmental processes
PiuraChilensis_v1_contig_10101,0.640466,PiuraChilensis_v1_contig_10101,other biological processes
PiuraChilensis_v1_contig_10101,0.640466,PiuraChilensis_v1_contig_10101,other metabolic processes
PiuraChilensis_v1_contig_10101,0.640466,PiuraChilensis_v1_contig_10101,signal transduction
PiuraChilensis_v1_contig_10101,0.640466,PiuraChilensis_v1_contig_10101,stress response
PiuraChilensis_v1_contig_10102,0.784462,PiuraChilensis_v1_contig_10102,RNA metabolism
PiuraChilensis_v1_contig_10102,0.784462,PiuraChilensis_v1_contig_10102,cell adhesion
PiuraChilensis_v1_contig_10102,0.784462,PiuraChilensis_v1_contig_10102,cell cycle and proliferation
PiuraChilensis_v1_contig_10102,0.784462,PiuraChilensis_v1_contig_10102,death
PiuraChilensis_v1_contig_10102,0.784462,PiuraChilensis_v1_contig_10102,developmental processes
PiuraChilensis_v1_contig_10102,0.784462,PiuraChilensis_v1_contig_10102,other biological processes
PiuraChilensis_v1_contig_10102,0.784462,PiuraChilensis_v1_contig_10102,other metabolic processes
PiuraChilensis_v1_contig_10102,0.784462,PiuraChilensis_v1_contig_10102,signal transduction
PiuraChilensis_v1_contig_10102,0.784462,PiuraChilensis_v1_contig_10102,stress response
PiuraChilensis_v1_contig_10103,0.715243,PiuraChilensis_v1_contig_10103,other metabolic processes
PiuraChilensis_v1_contig_10103,0.715243,PiuraChilensis_v1_contig_10103,protein metabolism
PiuraChilensis_v1_contig_10103,0.715243,PiuraChilensis_v1_contig_10103,signal transduction
PiuraChilensis_v1_contig_10103,0.715243,PiuraChilensis_v1_contig_10103,stress response
PiuraChilensis_v1_contig_10104,1.0657,PiuraChilensis_v1_contig_10104,other biological processes
PiuraChilensis_v1_contig_10104,1.0657,PiuraChilensis_v1_contig_10104,transport
PiuraChilensis_v1_contig_10105,1.03538,,
PiuraChilensis_v1_contig_10106,0.635994,,
PiuraChilensis_v1_contig_10107,0.773066,,
PiuraChilensis_v1_contig_10108,1.28198,,
PiuraChilensis_v1_contig_10109,0.601527,,
PiuraChilensis_v1_contig_1011,0.437665,,
PiuraChilensis_v1_contig_10110,0.899988,PiuraChilensis_v1_contig_10110,RNA metabolism
PiuraChilensis_v1_contig_10110,0.899988,PiuraChilensis_v1_contig_10110,transport
PiuraChilensis_v1_contig_10111,0.460527,,
PiuraChilensis_v1_contig_10112,0.915219,PiuraChilensis_v1_contig_10112,RNA metabolism
PiuraChilensis_v1_contig_10112,0.915219,PiuraChilensis_v1_contig_10112,cell organization and biogenesis
PiuraChilensis_v1_contig_10112,0.915219,PiuraChilensis_v1_contig_10112,developmental processes
PiuraChilensis_v1_contig_10112,0.915219,PiuraChilensis_v1_contig_10112,protein metabolism
PiuraChilensis_v1_contig_10113,0.314968,PiuraChilensis_v1_contig_10113,developmental processes
PiuraChilensis_v1_contig_10113,0.314968,PiuraChilensis_v1_contig_10113,other biological processes
PiuraChilensis_v1_contig_10113,0.314968,PiuraChilensis_v1_contig_10113,other metabolic processes
PiuraChilensis_v1_contig_10114,1.07952,PiuraChilensis_v1_contig_10114,DNA metabolism
PiuraChilensis_v1_contig_10114,1.07952,PiuraChilensis_v1_contig_10114,RNA metabolism
PiuraChilensis_v1_contig_10114,1.07952,PiuraChilensis_v1_contig_10114,developmental processes
PiuraChilensis_v1_contig_10114,1.07952,PiuraChilensis_v1_contig_10114,other biological processes
PiuraChilensis_v1_contig_10114,1.07952,PiuraChilensis_v1_contig_10114,protein metabolism
PiuraChilensis_v1_contig_10114,1.07952,PiuraChilensis_v1_contig_10114,stress response
PiuraChilensis_v1_contig_10115,0.880119,,
PiuraChilensis_v1_contig_10116,1.08753,,
PiuraChilensis_v1_contig_10117,0.806087,,
PiuraChilensis_v1_contig_10118,0.571675,PiuraChilensis_v1_contig_10118,other metabolic processes
PiuraChilensis_v1_contig_10119,0.71967,PiuraChilensis_v1_contig_10119,RNA metabolism
PiuraChilensis_v1_contig_1012,0.752688,PiuraChilensis_v1_contig_1012,RNA metabolism
PiuraChilensis_v1_contig_1012,0.752688,PiuraChilensis_v1_contig_1012,protein metabolism
PiuraChilensis_v1_contig_10120,1.03619,,
PiuraChilensis_v1_contig_10121,0.873433,PiuraChilensis_v1_contig_10121,other biological processes
PiuraChilensis_v1_contig_10122,0.776796,PiuraChilensis_v1_contig_10122,other metabolic processes
PiuraChilensis_v1_contig_10123,0.903435,,
PiuraChilensis_v1_contig_10124,0.554307,,
PiuraChilensis_v1_contig_10125,0.517795,,
PiuraChilensis_v1_contig_10126,0.502417,PiuraChilensis_v1_contig_10126,RNA metabolism
PiuraChilensis_v1_contig_10126,0.502417,PiuraChilensis_v1_contig_10126,cell organization and biogenesis
PiuraChilensis_v1_contig_10127,0.787871,,
PiuraChilensis_v1_contig_10128,0.539525,,
PiuraChilensis_v1_contig_10129,0.58774,,
PiuraChilensis_v1_contig_1013,0.941745,,
PiuraChilensis_v1_contig_10130,0.360136,PiuraChilensis_v1_contig_10130,RNA metabolism
PiuraChilensis_v1_contig_10131,0.873612,PiuraChilensis_v1_contig_10131,cell organization and biogenesis
PiuraChilensis_v1_contig_10131,0.873612,PiuraChilensis_v1_contig_10131,developmental processes
PiuraChilensis_v1_contig_10131,0.873612,PiuraChilensis_v1_contig_10131,other biological processes
PiuraChilensis_v1_contig_10131,0.873612,PiuraChilensis_v1_contig_10131,protein metabolism
PiuraChilensis_v1_contig_10131,0.873612,PiuraChilensis_v1_contig_10131,transport
PiuraChilensis_v1_contig_10132,0.651532,,
PiuraChilensis_v1_contig_10133,0.782657,PiuraChilensis_v1_contig_10133,transport
PiuraChilensis_v1_contig_10134,1.15826,,
PiuraChilensis_v1_contig_10135,1.14653,PiuraChilensis_v1_contig_10135,other biological processes
PiuraChilensis_v1_contig_10136,0.603219,PiuraChilensis_v1_contig_10136,cell organization and biogenesis
PiuraChilensis_v1_contig_10136,0.603219,PiuraChilensis_v1_contig_10136,other biological processes
PiuraChilensis_v1_contig_10137,0.461398,PiuraChilensis_v1_contig_10137,DNA metabolism
PiuraChilensis_v1_contig_10137,0.461398,PiuraChilensis_v1_contig_10137,RNA metabolism
PiuraChilensis_v1_contig_10137,0.461398,PiuraChilensis_v1_contig_10137,protein metabolism
PiuraChilensis_v1_contig_10137,0.461398,PiuraChilensis_v1_contig_10137,stress response
PiuraChilensis_v1_contig_10138,0.654212,,
PiuraChilensis_v1_contig_10139,0.847228,,
PiuraChilensis_v1_contig_1014,1.12182,,
PiuraChilensis_v1_contig_10140,0.85545,PiuraChilensis_v1_contig_10140,developmental processes
PiuraChilensis_v1_contig_10140,0.85545,PiuraChilensis_v1_contig_10140,other biological processes
PiuraChilensis_v1_contig_10140,0.85545,PiuraChilensis_v1_contig_10140,transport
PiuraChilensis_v1_contig_10141,0.70112,PiuraChilensis_v1_contig_10141,other biological processes
PiuraChilensis_v1_contig_10141,0.70112,PiuraChilensis_v1_contig_10141,other metabolic processes
PiuraChilensis_v1_contig_10141,0.70112,PiuraChilensis_v1_contig_10141,signal transduction
PiuraChilensis_v1_contig_10142,0.855381,,
PiuraChilensis_v1_contig_10143,0.958991,,
PiuraChilensis_v1_contig_10144,0.798455,PiuraChilensis_v1_contig_10144,cell organization and biogenesis
PiuraChilensis_v1_contig_10144,0.798455,PiuraChilensis_v1_contig_10144,other metabolic processes
PiuraChilensis_v1_contig_10144,0.798455,PiuraChilensis_v1_contig_10144,transport
PiuraChilensis_v1_contig_10145,0.479946,PiuraChilensis_v1_contig_10145,RNA metabolism
PiuraChilensis_v1_contig_10146,0.372075,PiuraChilensis_v1_contig_10146,developmental processes
PiuraChilensis_v1_contig_10147,0.845016,,
PiuraChilensis_v1_contig_10148,0.654215,,
PiuraChilensis_v1_contig_10149,0.440718,PiuraChilensis_v1_contig_10149,other metabolic processes
PiuraChilensis_v1_contig_1015,0.975061,PiuraChilensis_v1_contig_1015,RNA metabolism
PiuraChilensis_v1_contig_1015,0.975061,PiuraChilensis_v1_contig_1015,cell organization and biogenesis
PiuraChilensis_v1_contig_1015,0.975061,PiuraChilensis_v1_contig_1015,developmental processes
PiuraChilensis_v1_contig_10150,0.723555,PiuraChilensis_v1_contig_10150,other metabolic processes
PiuraChilensis_v1_contig_10150,0.723555,PiuraChilensis_v1_contig_10150,protein metabolism
PiuraChilensis_v1_contig_10151,0.462264,,
PiuraChilensis_v1_contig_10152,1.16484,PiuraChilensis_v1_contig_10152,other biological processes
PiuraChilensis_v1_contig_10153,0.789262,PiuraChilensis_v1_contig_10153,other biological processes
PiuraChilensis_v1_contig_10153,0.789262,PiuraChilensis_v1_contig_10153,protein metabolism
PiuraChilensis_v1_contig_10154,0.645334,PiuraChilensis_v1_contig_10154,RNA metabolism
PiuraChilensis_v1_contig_10154,0.645334,PiuraChilensis_v1_contig_10154,cell organization and biogenesis
PiuraChilensis_v1_contig_10154,0.645334,PiuraChilensis_v1_contig_10154,other metabolic processes
PiuraChilensis_v1_contig_10155,0.651989,PiuraChilensis_v1_contig_10155,RNA metabolism
PiuraChilensis_v1_contig_10156,0.937026,,
PiuraChilensis_v1_contig_10157,1.03467,PiuraChilensis_v1_contig_10157,RNA metabolism
PiuraChilensis_v1_contig_10157,1.03467,PiuraChilensis_v1_contig_10157,transport
PiuraChilensis_v1_contig_10158,0.628665,PiuraChilensis_v1_contig_10158,RNA metabolism
PiuraChilensis_v1_contig_10159,1.0175,,
PiuraChilensis_v1_contig_1016,0.911132,PiuraChilensis_v1_contig_1016,cell organization and biogenesis
PiuraChilensis_v1_contig_1016,0.911132,PiuraChilensis_v1_contig_1016,other biological processes
PiuraChilensis_v1_contig_10160,0.695179,PiuraChilensis_v1_contig_10160,transport
PiuraChilensis_v1_contig_10161,1.18877,,
PiuraChilensis_v1_contig_10162,0.503151,PiuraChilensis_v1_contig_10162,other metabolic processes
PiuraChilensis_v1_contig_10163,0.382016,PiuraChilensis_v1_contig_10163,other biological processes
PiuraChilensis_v1_contig_10164,0.987313,PiuraChilensis_v1_contig_10164,death
PiuraChilensis_v1_contig_10164,0.987313,PiuraChilensis_v1_contig_10164,developmental processes
PiuraChilensis_v1_contig_10164,0.987313,PiuraChilensis_v1_contig_10164,other biological processes
PiuraChilensis_v1_contig_10164,0.987313,PiuraChilensis_v1_contig_10164,other metabolic processes
PiuraChilensis_v1_contig_10164,0.987313,PiuraChilensis_v1_contig_10164,signal transduction
PiuraChilensis_v1_contig_10165,1.01119,PiuraChilensis_v1_contig_10165,transport
PiuraChilensis_v1_contig_10166,0.718312,,
PiuraChilensis_v1_contig_10167,0.680585,PiuraChilensis_v1_contig_10167,RNA metabolism
PiuraChilensis_v1_contig_10167,0.680585,PiuraChilensis_v1_contig_10167,other biological processes
PiuraChilensis_v1_contig_10167,0.680585,PiuraChilensis_v1_contig_10167,protein metabolism
PiuraChilensis_v1_contig_10168,0.65675,PiuraChilensis_v1_contig_10168,RNA metabolism
PiuraChilensis_v1_contig_10168,0.65675,PiuraChilensis_v1_contig_10168,death
PiuraChilensis_v1_contig_10168,0.65675,PiuraChilensis_v1_contig_10168,other biological processes
PiuraChilensis_v1_contig_10168,0.65675,PiuraChilensis_v1_contig_10168,other metabolic processes
PiuraChilensis_v1_contig_10168,0.65675,PiuraChilensis_v1_contig_10168,protein metabolism
PiuraChilensis_v1_contig_10168,0.65675,PiuraChilensis_v1_contig_10168,signal transduction
PiuraChilensis_v1_contig_10168,0.65675,PiuraChilensis_v1_contig_10168,stress response
PiuraChilensis_v1_contig_10169,0.905896,PiuraChilensis_v1_contig_10169,RNA metabolism
PiuraChilensis_v1_contig_1017,0.745078,PiuraChilensis_v1_contig_1017,other metabolic processes
PiuraChilensis_v1_contig_10170,0.829903,,
PiuraChilensis_v1_contig_10171,0.585995,,
